date,base_inc,base_prev,future3_excl,future3_incl,future7_excl,future7_incl,future14_excl,future14_incl
2023-10-23,146488.01133900584,148539.8468465348,366406.14818209194,328243.0262667579,1091882.3868421793,1076158.3840043053,2207390.2412858265,2130648.8027105536
2023-10-24,140328.0846826049,146488.01133900584,564237.2290267225,366406.14818209194,1207099.0058887731,1091882.3868421793,2344156.679144617,2207390.2412858265
2023-10-25,140742.6140999856,140328.0846826049,594958.6766523801,564237.2290267225,1305409.9093329501,1207099.0058887731,2302079.8184228707,2344156.679144617
2023-10-26,141184.25318201465,140742.6140999856,620112.5211320817,594958.6766523801,1328703.191169322,1305409.9093329501,2390356.1513392227,2302079.8184228707
2023-10-27,141932.04431299554,141184.25318201465,467391.3781821741,620112.5211320817,1240017.1787349347,1328703.191169322,2318146.9772391054,2390356.1513392227
2023-10-28,143891.0665305053,141932.04431299554,433790.7972930492,467391.3781821741,1127893.310634404,1240017.1787349347,2142846.531378567,2318146.9772391054
2023-10-29,146556.31104996422,143891.0665305053,557494.5515954028,433790.7972930492,1054490.4187062487,1127893.310634404,2130229.7593578887,2142846.531378567
2023-10-30,145911.73225419276,146556.31104996422,603226.9525092345,557494.5515954028,1115507.8544436474,1054490.4187062487,2287372.6735943225,2130229.7593578887
2023-10-31,147466.5615301565,145911.73225419276,597155.4018728842,603226.9525092345,1137057.6732558443,1115507.8544436474,2140902.7701972015,2287372.6735943225
2023-11-01,148066.82001745913,147466.5615301565,417442.077953834,597155.4018728842,996669.9090899206,1137057.6732558443,1929696.11270741,2140902.7701972015
2023-11-02,148522.93493627908,148066.82001745913,345899.7486690085,417442.077953834,1061652.9601699002,996669.9090899206,1862318.9008984491,1929696.11270741
2023-11-03,151217.98032411668,148522.93493627908,342882.0538908866,345899.7486690085,1078129.7985041705,1061652.9601699002,1875525.5680942931,1862318.9008984491
2023-11-04,145890.22472244,151217.98032411668,442955.1599144896,342882.0538908866,1014953.2207441634,1078129.7985041705,2009724.5986363497,1875525.5680942931
2023-11-05,144138.2799661193,145890.22472244,499674.04197907454,442955.1599144896,1075739.3406516397,1014953.2207441634,2048144.1565353558,2009724.5986363497
