date,target,fold_id,rank_score,raw_score,config_id
2023-12-17,0,1,0.6221198156682027,0.025287642263633517,0
2023-12-18,0,1,0.8433179723502304,0.061742494368458724,0
2023-12-19,0,1,0.2995391705069124,0.010992119148648657,0
2023-12-20,0,1,0.9032258064516129,0.13023061998906943,0
2023-12-21,0,1,0.02304147465437788,0.0037067057624557078,0
2023-12-22,0,1,0.7050691244239631,0.034624975493363616,0
2023-12-23,0,1,0.17050691244239632,0.007048371895989819,0
2023-12-24,0,1,0.0,0.002640492388027074,0
2023-12-25,0,1,0.7603686635944701,0.04110549609726622,0
2023-12-26,0,1,0.4423963133640553,0.015276054117419193,0
2023-12-27,0,1,0.16589861751152074,0.007000689770230297,0
2023-12-28,0,1,0.35023041474654376,0.012631945277898118,0
2023-12-29,0,1,0.09216589861751152,0.005828851153125885,0
2023-12-30,0,1,0.06451612903225806,0.005224251598603012,0
2023-12-31,0,1,0.9032258064516129,0.14856879203190654,0
2024-01-08,0,2,0.8867313915857605,0.23236657428137733,0
2024-01-09,0,2,0.889967637540453,0.4736551678661383,0
2024-01-10,0,2,0.8640776699029126,0.1491959498217436,0
2024-01-11,1,2,0.889967637540453,0.2845331783693685,0
2024-01-12,1,2,0.889967637540453,0.7606584812101842,0
2024-01-13,1,2,0.7249190938511327,0.07040262413727891,0
2024-01-14,1,2,0.32362459546925565,0.018999604851896158,0
2024-01-15,1,2,0.6828478964401294,0.05876955397316503,0
2024-01-16,0,2,0.7993527508090615,0.0950180156622117,0
2024-01-17,1,2,0.8640776699029126,0.1372395974510329,0
2024-01-18,1,2,0.7087378640776699,0.06652071771769023,0
2024-01-19,1,2,0.4692556634304207,0.0302672330065994,0
2024-01-20,0,2,0.36245954692556637,0.02212957019997417,0
2024-01-21,0,2,0.038834951456310676,0.0072097373497093465,0
2024-01-22,0,2,0.30097087378640774,0.01749298276285546,0
2024-01-23,0,2,0.26537216828478966,0.01570813680041267,0
2024-01-24,0,2,0.038834951456310676,0.0071449598800942685,0
2024-01-25,0,2,0.6407766990291263,0.05038177121339675,0
2024-01-26,0,2,0.019417475728155338,0.004343506658612403,0
2024-01-27,0,2,0.3559870550161812,0.02000373208394535,0
2024-01-28,0,2,0.2524271844660194,0.01537742918199545,0
2024-01-29,0,2,0.30097087378640774,0.01762549145804834,0
2024-01-30,1,2,0.6731391585760518,0.056306325222771306,0
2024-01-31,0,2,0.48220064724919093,0.031329422447856616,0
2024-02-01,0,2,0.18770226537216828,0.013563367907258737,0
2024-02-02,0,2,0.11326860841423948,0.010764307827641874,0
2024-02-03,0,2,0.038834951456310676,0.007509135543999247,0
2024-02-04,0,2,0.8640776699029126,0.14889333813894925,0
2024-02-05,0,2,0.889967637540453,0.38836581173495466,0
2024-02-06,0,2,0.8867313915857605,0.23842842956926383,0
2024-02-07,0,2,0.889967637540453,0.29164996353605355,0
2024-02-08,0,2,0.889967637540453,0.7920520055815303,0
2024-02-09,0,2,0.889967637540453,0.8162417589222161,0
2024-02-10,0,2,0.889967637540453,0.48193275747919456,0
2024-02-11,0,2,0.8867313915857605,0.23718156204992635,0
2024-02-12,0,2,0.8867313915857605,0.2371294528062401,0
2024-02-13,0,2,0.8252427184466019,0.1055583253287285,0
2024-02-14,0,2,0.889967637540453,0.27551714425361673,0
2024-02-15,0,2,0.889967637540453,0.47426191452056926,0
2024-02-16,0,2,0.889967637540453,0.5759790896965796,0
2024-02-17,0,2,0.8640776699029126,0.14106316031465568,0
2024-02-18,0,2,0.5501618122977346,0.040044099726978984,0
2024-02-19,0,2,0.4854368932038835,0.0321791991060399,0
2024-02-20,0,2,0.7313915857605178,0.07364110102070057,0
2024-02-21,0,2,0.8284789644012945,0.10618434881148853,0
2024-02-22,0,2,0.8640776699029126,0.1491291109966533,0
2024-02-23,0,2,0.8155339805825242,0.10253901583334854,0
2024-02-24,0,2,0.4368932038834951,0.02790311914555601,0
2024-02-25,0,2,0.025889967637540454,0.005114542279573087,0
2024-02-26,0,2,0.0970873786407767,0.010111599978945373,0
2024-02-27,0,2,0.1941747572815534,0.013861200800757765,0
2024-02-28,0,2,0.3559870550161812,0.020781636580764273,0
2024-02-29,0,2,0.36245954692556637,0.02187860595761704,0
2024-03-01,0,2,0.1553398058252427,0.012244327744099157,0
2024-03-02,0,2,0.4368932038834951,0.027946446875705584,0
2024-03-03,0,2,0.7184466019417476,0.06787169659929934,0
2024-03-04,0,2,0.8867313915857605,0.2078305508582601,0
2024-03-05,0,2,0.8867313915857605,0.24362872691163667,0
2024-03-06,0,2,0.8220064724919094,0.10404913751645033,0
2024-03-07,0,2,0.889967637540453,0.3365503503626796,0
2024-03-08,0,2,0.8478964401294499,0.12026100964366385,0
2024-03-09,1,2,0.7993527508090615,0.09434529876160835,0
2024-03-10,1,2,0.889967637540453,0.42977275020736827,0
2024-03-11,1,2,0.889967637540453,0.8324919431728155,0
2024-03-12,1,2,0.8964401294498382,0.8987463534043222,0
2024-03-13,1,2,0.889967637540453,0.4511271311053701,0
2024-03-14,1,2,0.889967637540453,0.5029132521936756,0
2024-03-15,1,2,0.8867313915857605,0.19998291353904488,0
2024-03-16,1,2,0.6310679611650486,0.048948501373318805,0
2024-03-17,0,2,0.3106796116504854,0.018380899962881947,0
2024-03-18,0,2,0.7993527508090615,0.09601361763292805,0
2024-03-19,0,2,0.11650485436893204,0.010795152733791656,0
2024-03-20,0,2,0.22330097087378642,0.01434886712882035,0
2024-03-21,0,2,0.2297734627831715,0.0146310468142236,0
2024-03-22,0,2,0.36245954692556637,0.022070444919921817,0
2024-03-23,0,2,0.4692556634304207,0.03022636758675341,0
2024-03-24,0,2,0.12944983818770225,0.010962767906192382,0
2024-03-25,0,2,0.1262135922330097,0.010917924597308748,0
2024-03-26,0,2,0.032362459546925564,0.005838735153561158,0
2024-03-27,0,2,0.016181229773462782,0.0038433208545028907,0
2024-03-28,0,2,0.22330097087378642,0.014345847281113905,0
2024-03-29,0,2,0.12944983818770225,0.011045526776195429,0
2024-03-30,0,2,0.5048543689320388,0.03308270227220641,0
2024-03-31,0,2,0.3559870550161812,0.020882563840929323,0
2024-04-08,0,3,0.8725,0.607617409009934,0
2024-04-09,0,3,0.865,0.3582172016214068,0
2024-04-10,1,3,0.8725,0.682564600479521,0
2024-04-11,1,3,0.8725,0.6095097905017339,0
2024-04-12,0,3,0.875,0.7641728002723502,0
2024-04-13,1,3,0.8525,0.26746750976527206,0
2024-04-14,1,3,0.39,0.030848976967734067,0
2024-04-15,1,3,0.645,0.0691544282380515,0
2024-04-16,1,3,0.465,0.03845764954872471,0
2024-04-17,1,3,0.8125,0.15443511468712112,0
2024-04-18,1,3,0.8575,0.2917845823525657,0
2024-04-19,1,3,0.615,0.06164235122291983,0
2024-04-20,1,3,0.745,0.09990265262453267,0
2024-04-21,0,3,0.11,0.012637059777996373,0
2024-04-22,0,3,0.11,0.012596706029459937,0
2024-04-23,0,3,0.085,0.010822683866128668,0
2024-04-24,0,3,0.0225,0.005971957828749557,0
2024-04-25,0,3,0.01,0.0045427248600403754,0
2024-04-26,0,3,0.1975,0.017352439879655998,0
2024-04-27,0,3,0.0425,0.008406340669429252,0
2024-04-28,0,3,0.1575,0.014465894482763838,0
2024-04-29,0,3,0.1425,0.014240514633924747,0
2024-04-30,0,3,0.2675,0.02181952221528082,0
2024-05-01,0,3,0.0425,0.008348134130607919,0
2024-05-02,0,3,0.05,0.008628220869654429,0
2024-05-03,0,3,0.1325,0.013464245280395673,0
2024-05-04,0,3,0.64,0.06735904705136012,0
2024-05-05,0,3,0.765,0.11144939824855774,0
2024-05-06,0,3,0.51,0.043286862981796355,0
2024-05-07,0,3,0.7875,0.11926125937163494,0
2024-05-08,0,3,0.6725,0.07460046519485723,0
2024-05-09,0,3,0.685,0.07860587326334646,0
2024-05-10,0,3,0.4475,0.0368415531531831,0
2024-05-11,0,3,0.71,0.08979514794850814,0
2024-05-12,0,3,0.8575,0.30096108491690887,0
2024-05-13,0,3,0.8075,0.13174308807452664,0
2024-05-14,0,3,0.7475,0.10468697524122837,0
2024-05-15,0,3,0.785,0.11719264469411626,0
2024-05-16,0,3,0.8325,0.17746541438278468,0
2024-05-17,1,3,0.85,0.2378377289777877,0
2024-05-18,0,3,0.815,0.15582870885334604,0
2024-05-19,0,3,0.5625,0.049950855813322315,0
2024-05-20,0,3,0.7525,0.10753665449965827,0
2024-05-21,0,3,0.5625,0.049787491536746366,0
2024-05-22,0,3,0.8025,0.12976321331473892,0
2024-05-23,0,3,0.72,0.09212817752664877,0
2024-05-24,0,3,0.5525,0.04751615248023021,0
2024-05-25,0,3,0.285,0.02312100172061801,0
2024-05-26,0,3,0.035,0.0073827391049540525,0
