date,net_sales,gross_total,vat,discount,quantity,line_items,transactions,customers,products,families,classes,return_line_share,baseline28_daily,future7_sales,future_ratio,target,mean7,recent7_28,simple_risk
2023-07-16,65045.23,74802.03,9756.8,-10276.380000000001,63.0,58.0,26.0,4.0,36.0,5.0,11.0,0.1206896551724138,,288785.13,,,36039.18142857143,,
2023-07-17,54755.18,62968.51,8213.33,-14009.61,33.0,28.0,15.0,5.0,24.0,3.0,11.0,0.07142857142857142,,412634.96,,,40914.87714285714,,
2023-07-18,57880.28,66562.39,8682.11,-9059.97,31.0,24.0,11.0,4.0,23.0,4.0,7.0,0.0,,410541.95,,,39662.345714285715,,
2023-07-19,45995.75,52895.159999999996,6899.41,-3243.48,35.0,25.0,10.0,3.0,24.0,5.0,11.0,0.0,,412937.58,,,43624.840000000004,,
2023-07-20,76521.74,88000.08,11478.34,-6408.69,40.0,37.0,18.0,6.0,26.0,5.0,10.0,0.08108108108108109,,396842.7,,,49368.56428571429,,
2023-07-21,2998.26,3448.01,449.75,-1173.93,4.0,4.0,2.0,2.0,4.0,2.0,3.0,0.0,,402908.14,,,47921.76285714286,,
2023-07-22,31998.28,36798.02,4799.74,-3122.56,25.0,17.0,15.0,2.0,15.0,3.0,8.0,0.0,,387846.39,,,47884.96,,
2023-07-23,18635.64,21430.989999999998,2795.35,-3598.2799999999997,11.0,9.0,9.0,4.0,9.0,5.0,8.0,0.0,,404326.37,,,41255.01857142857,,
2023-07-24,178605.01,205395.81999999998,26790.81,-92501.31000000001,846.0,33.0,14.0,5.0,26.0,4.0,8.0,0.06060606060606061,,245028.94,,,58947.85142857143,,
2023-07-25,55787.270000000004,64155.38,8368.11,-4270.71,35.0,31.0,19.0,7.0,27.0,5.0,15.0,0.0,,238121.81999999998,,,58648.85,,
2023-07-26,48391.38,55650.07,7258.69,-8671.869999999999,47.0,32.0,17.0,4.0,27.0,5.0,10.0,0.0625,,277088.13,,,58991.08285714286,,
2023-07-27,60426.86,69490.92,9064.06,-3865.9700000000003,30.0,28.0,18.0,6.0,24.0,6.0,12.0,0.03571428571428571,,289041.95,,,56691.81428571428,,
2023-07-28,9063.7,10423.26,1359.56,-973.0400000000001,7.0,7.0,5.0,3.0,7.0,4.0,5.0,0.0,42145.40571428572,295299.53,1.0009548236133787,0.0,57558.305714285714,1.3657077144894016,-1.3657077144894016
2023-07-29,16936.53,19477.02,2540.4900000000002,-1313.07,17.0,14.0,11.0,3.0,13.0,4.0,10.0,0.0,42703.728928571436,323438.97,1.0820031014186857,0.0,55406.62714285714,1.29746578420665,-1.29746578420665
2023-07-30,35115.62,40382.99,5267.37,-3216.5699999999997,20.0,21.0,17.0,6.0,16.0,5.0,9.0,0.047619047619047616,42045.055714285714,393376.01999999996,1.336579850615355,0.0,57760.909999999996,1.3737860259363261,-1.3737860259363261
2023-07-31,19307.58,22203.75,2896.17,-4071.5699999999997,19.0,18.0,12.0,5.0,17.0,6.0,10.0,0.0,42284.07857142858,450003.58999999997,1.5203412091447452,0.0,35004.13428571429,0.8278324955475472,-0.8278324955475472
2023-08-01,48880.15,56212.229999999996,7332.08,-4582.03,29.0,34.0,20.0,5.0,23.0,5.0,12.0,0.08823529411764706,42572.95857142857,408108.31999999995,1.3694417895249467,0.0,34017.40285714286,0.799037792970595,-0.799037792970595
2023-08-02,87357.69,100461.5,13103.81,-16671.34,103.0,59.0,24.0,5.0,36.0,4.0,10.0,0.0,43767.51535714285,404348.58999999997,1.3197935458378078,0.0,39584.01857142857,0.9044154836851725,-0.9044154836851725
2023-08-03,72380.68,83237.85,10857.17,-8849.26,70.0,45.0,24.0,6.0,28.0,4.0,9.0,0.044444444444444446,44261.61464285715,421136.6,1.359244842602693,0.0,41291.707142857136,0.9329010583105943,-0.9329010583105943
2023-08-04,15321.28,17619.510000000002,2298.23,-2060.89,12.0,12.0,9.0,4.0,11.0,3.0,7.0,0.0,44579.05178571429,412315.33,1.3212975072492608,0.0,42185.64714285714,0.9463110015358348,-0.9463110015358348
2023-08-05,45075.97,51837.44,6761.47,-3847.75,30.0,30.0,15.0,5.0,17.0,4.0,9.0,0.0,45602.26,391276.93000000005,1.2257441689450104,0.0,46205.56714285714,1.013229764113821,-1.013229764113821
2023-08-06,105052.67,120810.58,15757.91,-8051.82,62.0,42.0,16.0,8.0,30.0,5.0,13.0,0.11904761904761904,47812.92107142857,331066.5,0.989172241015334,0.0,56196.57428571429,1.175342836756642,-1.175342836756642
