C,margin,mean_guard,max_guard,min_guard,precision,recall,f1,npv,alert_rate,tp,fp,fn,tn,worst_fold_recall,passes_v11_contract,preserves_selected_or_better
0.2,0.0,0.5,0.8,0.25,0.4444444444444444,0.8253968253968254,0.5777777777777777,0.9583333333333334,0.30708661417322836,52,65,11,253,0.6,True,True
0.2,0.0,0.5,0.8,0.3,0.4444444444444444,0.8253968253968254,0.5777777777777777,0.9583333333333334,0.30708661417322836,52,65,11,253,0.6,True,True
0.2,0.0,0.5,0.85,0.2,0.4396551724137931,0.8095238095238095,0.5698324022346368,0.9547169811320755,0.30446194225721784,51,65,12,253,0.6,False,False
0.2,0.0,0.5,0.85,0.25,0.4396551724137931,0.8095238095238095,0.5698324022346368,0.9547169811320755,0.30446194225721784,51,65,12,253,0.6,False,False
0.2,0.0,0.5,0.85,0.3,0.4396551724137931,0.8095238095238095,0.5698324022346368,0.9547169811320755,0.30446194225721784,51,65,12,253,0.6,False,False
0.2,0.0,0.5,0.9,0.2,0.4434782608695652,0.8095238095238095,0.5730337078651685,0.9548872180451128,0.30183727034120733,51,64,12,254,0.6,False,False
0.2,0.0,0.5,0.9,0.25,0.4434782608695652,0.8095238095238095,0.5730337078651685,0.9548872180451128,0.30183727034120733,51,64,12,254,0.6,False,False
0.2,0.0,0.5,0.9,0.3,0.4434782608695652,0.8095238095238095,0.5730337078651685,0.9548872180451128,0.30183727034120733,51,64,12,254,0.6,False,False
0.2,0.005,0.4,0.8,0.2,0.4369747899159664,0.8253968253968254,0.5714285714285714,0.9580152671755725,0.3123359580052493,52,67,11,251,0.6,True,False
0.2,0.005,0.4,0.8,0.25,0.4369747899159664,0.8253968253968254,0.5714285714285714,0.9580152671755725,0.3123359580052493,52,67,11,251,0.6,True,False
0.2,0.005,0.4,0.8,0.3,0.4369747899159664,0.8253968253968254,0.5714285714285714,0.9580152671755725,0.3123359580052493,52,67,11,251,0.6,True,False
0.2,0.005,0.4,0.85,0.2,0.4369747899159664,0.8253968253968254,0.5714285714285714,0.9580152671755725,0.3123359580052493,52,67,11,251,0.6,True,False
0.2,0.005,0.4,0.85,0.25,0.4369747899159664,0.8253968253968254,0.5714285714285714,0.9580152671755725,0.3123359580052493,52,67,11,251,0.6,True,False
0.2,0.005,0.4,0.85,0.3,0.4369747899159664,0.8253968253968254,0.5714285714285714,0.9580152671755725,0.3123359580052493,52,67,11,251,0.6,True,False
0.2,0.005,0.4,0.9,0.2,0.4369747899159664,0.8253968253968254,0.5714285714285714,0.9580152671755725,0.3123359580052493,52,67,11,251,0.6,True,False
