date,target,score,threshold,fold_id,scope,model
2023-08-26,0,0.0395367346469817,0.185,0,portable_comparable_merchant,extra_trees
2023-08-27,0,0.11579392952656149,0.185,0,portable_comparable_merchant,extra_trees
2023-08-28,0,0.09323783483340949,0.185,0,portable_comparable_merchant,extra_trees
2023-08-29,0,0.03263778614718784,0.185,0,portable_comparable_merchant,extra_trees
2023-08-30,0,0.05021293985864965,0.185,0,portable_comparable_merchant,extra_trees
2023-08-31,0,0.0889128136735891,0.185,0,portable_comparable_merchant,extra_trees
2023-09-01,0,0.43792677864944546,0.185,0,portable_comparable_merchant,extra_trees
2023-09-02,0,0.2748442315130489,0.185,0,portable_comparable_merchant,extra_trees
2023-09-03,0,0.3442725329230144,0.185,0,portable_comparable_merchant,extra_trees
2023-09-04,0,0.40634306468185816,0.185,0,portable_comparable_merchant,extra_trees
2023-09-05,1,0.3473229081614638,0.185,0,portable_comparable_merchant,extra_trees
2023-09-06,1,0.23934520870302256,0.185,0,portable_comparable_merchant,extra_trees
2023-09-07,1,0.33518416004114804,0.185,0,portable_comparable_merchant,extra_trees
2023-09-08,1,0.5677908143976023,0.185,0,portable_comparable_merchant,extra_trees
2023-09-09,0,0.47941783472090754,0.185,0,portable_comparable_merchant,extra_trees
2023-09-10,0,0.17150632806208377,0.185,0,portable_comparable_merchant,extra_trees
2023-09-11,0,0.2857914395092131,0.185,0,portable_comparable_merchant,extra_trees
2023-09-12,0,0.4224302832943321,0.185,0,portable_comparable_merchant,extra_trees
2023-09-13,0,0.25223288505235875,0.185,0,portable_comparable_merchant,extra_trees
2023-09-14,0,0.29668017665780205,0.185,0,portable_comparable_merchant,extra_trees
2023-09-15,0,0.16901713850396197,0.185,0,portable_comparable_merchant,extra_trees
2023-09-16,0,0.3185350425773018,0.185,0,portable_comparable_merchant,extra_trees
2023-09-17,0,0.15436616192072108,0.185,0,portable_comparable_merchant,extra_trees
2023-09-18,0,0.08047420429360438,0.185,0,portable_comparable_merchant,extra_trees
2023-09-19,0,0.21885231702938984,0.185,0,portable_comparable_merchant,extra_trees
2023-09-20,0,0.1697601187066229,0.185,0,portable_comparable_merchant,extra_trees
2023-09-21,0,0.2826666080152039,0.185,0,portable_comparable_merchant,extra_trees
2023-09-22,0,0.13978306631420964,0.185,0,portable_comparable_merchant,extra_trees
