origin_week_start,forecast_h1_week_start,forecast_h2_week_start,predicted_value_h1,predicted_value_h2,predicted_count_h1,predicted_count_h2,actual_value_h1,actual_value_h2,actual_count_h1,actual_count_h2,predicted_value_h1_index_52median,predicted_value_h2_index_52median,predicted_count_h1_index_52median,predicted_count_h2_index_52median,predicted_value_h1_change_vs_last,predicted_value_h2_change_vs_last,predicted_count_h1_change_vs_last,predicted_count_h2_change_vs_last
2023-05-21,2023-05-28,2023-06-04,12190524.851992825,11770067.332038896,169656.2687973831,165370.5751951897,13815211.999999994,11686844.99999999,188590.00000000006,173918.00000000012,1.1275563083983304,1.0886663069592153,1.1114688259574435,1.083391968731896,0.13876957200388063,0.09949281929167242,0.03800219521785975,0.011781181407749974
2023-05-28,2023-06-04,2023-06-11,12965780.052121459,11838276.436860878,178060.45445758846,171665.377016212,11686844.99999999,11651799.999999998,173918.00000000012,175693.99999999997,1.1992631382630636,1.0949752729279492,1.1608348292430306,1.1191432102236913,-0.06148526333714899,-0.14309846009884775,-0.05583300038396277,-0.08974295022953493
2023-06-04,2023-06-11,2023-06-18,11669026.378633209,11520738.416866696,176059.6037209598,170380.81149398556,11651799.999999998,12295712.999999989,175693.99999999997,171661.99999999985,1.0749874980713519,1.0613267435369915,1.1450360871295977,1.1081030150689426,-0.001524673371366858,-0.014213124511645692,0.01231387045021104,-0.02033825426933633
2023-06-11,2023-06-18,2023-06-25,10964903.150818812,11628594.635418827,168435.41128901523,174083.31583776278,12295712.999999989,12123144.000000002,171661.99999999985,177775.99999999994,1.005839991672398,1.0667221926513706,1.0935979618750562,1.1302680234500357,-0.05895199447134247,-0.0019915690778397055,-0.04131381100654985,-0.009167553600220923
2023-06-18,2023-06-25,2023-07-02,12085761.412900668,11478148.164841678,165947.0320479754,169459.02457112586,12123144.000000002,11189611.00000001,177775.99999999994,166489.00000000012,1.101077102874725,1.0457203063946163,1.075496973700083,1.0982580757438585,-0.017075186050563462,-0.06649186063128854,-0.033291980473398874,-0.012833215440074874
2023-06-25,2023-07-02,2023-07-09,12218096.585039616,11622991.911293266,175128.48333313022,170431.4885806495,11189611.00000001,10919161.999999996,166489.00000000012,171245.9999999999,1.1131335404436187,1.0589163415688834,1.135001641843253,1.104560581346806,0.00783233994742738,-0.04125597194149744,-0.014892430175444282,-0.04131328986674532
2023-07-02,2023-07-09,2023-07-16,11483449.959387848,11246332.476161836,170257.97050759397,168436.84212274902,10919161.999999996,10120925.999999996,171245.9999999999,159618.00000000015,1.0462033280578358,1.0246006650106607,1.0993286209646778,1.0875698847954247,0.026259979849866832,0.005069119575455749,0.022637955105706542,0.011699524429535924
2023-07-09,2023-07-16,2023-07-23,11010789.201186193,10862095.921074154,168160.03687110305,166575.53405704448,10120925.999999996,11917283.99999999,159618.00000000015,173386.99999999985,1.0028257623763093,0.989283276977304,1.0821910042963478,1.0719939638843574,0.00839141329583648,-0.005226232464162206,-0.01802064357063493,-0.02727343087111822
2023-07-16,2023-07-23,2023-07-30,10655217.37798889,10959330.598043656,167071.8573620553,163061.27117409953,11917283.99999999,12664716.999999987,173386.99999999985,183645.00000000006,0.9704414729160264,0.998139085337603,1.0735954951648277,1.0478236666094727,0.05279076025147211,0.08283872424752992,0.04669810022713805,0.021571947863646468
2023-07-23,2023-07-30,2023-08-06,12094814.694528138,11427194.211194513,180410.69013534256,168897.19454849465,12664716.999999987,11969071.00000001,183645.00000000006,178956.00000000015,1.101555169681544,1.0407505345237884,1.155786052176052,1.082025802153803,0.014896908937316544,-0.04112428543328217,0.04050874711104391,-0.025894706359215758
