week_start,indicator,sector,city,value,week_end,source,data_status
2023-01-01,Number of Transactions Change %,Clothing and Footwear,Total,-18.866363260239964,2023-01-07,Saudi Central Bank (SAMA) weekly POS via KAPSARC Data Portal,REAL_OFFICIAL_AGGREGATE
2023-01-01,Value of Transactions (In Thousand SAR),Clothing and Footwear,Total,863494.0,2023-01-07,Saudi Central Bank (SAMA) weekly POS via KAPSARC Data Portal,REAL_OFFICIAL_AGGREGATE
2023-01-01,Value of Transactions Change %,Clothing and Footwear,Total,-22.513713866776506,2023-01-07,Saudi Central Bank (SAMA) weekly POS via KAPSARC Data Portal,REAL_OFFICIAL_AGGREGATE
2023-01-01,Number of Transactions (In Thousand),Construction & Building Materials,Total,1228.0,2023-01-07,Saudi Central Bank (SAMA) weekly POS via KAPSARC Data Portal,REAL_OFFICIAL_AGGREGATE
2023-01-01,Number of Transactions Change %,Construction & Building Materials,Total,-5.319969159599075,2023-01-07,Saudi Central Bank (SAMA) weekly POS via KAPSARC Data Portal,REAL_OFFICIAL_AGGREGATE
2023-01-01,Value of Transactions (In Thousand SAR),Construction & Building Materials,Total,319512.0,2023-01-07,Saudi Central Bank (SAMA) weekly POS via KAPSARC Data Portal,REAL_OFFICIAL_AGGREGATE
2023-01-01,Value of Transactions Change %,Construction & Building Materials,Total,-21.141054720375944,2023-01-07,Saudi Central Bank (SAMA) weekly POS via KAPSARC Data Portal,REAL_OFFICIAL_AGGREGATE
2023-01-01,Number of Transactions (In Thousand),Education,Total,82.0,2023-01-07,Saudi Central Bank (SAMA) weekly POS via KAPSARC Data Portal,REAL_OFFICIAL_AGGREGATE
2023-01-01,Number of Transactions Change %,Education,Total,-37.40458015267176,2023-01-07,Saudi Central Bank (SAMA) weekly POS via KAPSARC Data Portal,REAL_OFFICIAL_AGGREGATE
2023-01-01,Value of Transactions (In Thousand SAR),Education,Total,127602.0,2023-01-07,Saudi Central Bank (SAMA) weekly POS via KAPSARC Data Portal,REAL_OFFICIAL_AGGREGATE
2023-01-01,Value of Transactions Change %,Education,Total,-41.56079688573392,2023-01-07,Saudi Central Bank (SAMA) weekly POS via KAPSARC Data Portal,REAL_OFFICIAL_AGGREGATE
2023-01-01,Number of Transactions (In Thousand),Electronic & Electric Devices,Total,811.0,2023-01-07,Saudi Central Bank (SAMA) weekly POS via KAPSARC Data Portal,REAL_OFFICIAL_AGGREGATE
2023-01-01,Number of Transactions Change %,Electronic & Electric Devices,Total,-6.9954128440366965,2023-01-07,Saudi Central Bank (SAMA) weekly POS via KAPSARC Data Portal,REAL_OFFICIAL_AGGREGATE
2023-01-01,Value of Transactions (In Thousand SAR),Electronic & Electric Devices,Total,234654.0,2023-01-07,Saudi Central Bank (SAMA) weekly POS via KAPSARC Data Portal,REAL_OFFICIAL_AGGREGATE
2023-01-01,Value of Transactions Change %,Electronic & Electric Devices,Total,-16.930168013084206,2023-01-07,Saudi Central Bank (SAMA) weekly POS via KAPSARC Data Portal,REAL_OFFICIAL_AGGREGATE
2023-01-01,Number of Transactions (In Thousand),Furniture,Total,1101.0,2023-01-07,Saudi Central Bank (SAMA) weekly POS via KAPSARC Data Portal,REAL_OFFICIAL_AGGREGATE
2023-01-01,Number of Transactions Change %,Furniture,Total,-16.146230007616147,2023-01-07,Saudi Central Bank (SAMA) weekly POS via KAPSARC Data Portal,REAL_OFFICIAL_AGGREGATE
2023-01-01,Value of Transactions (In Thousand SAR),Furniture,Total,309902.0,2023-01-07,Saudi Central Bank (SAMA) weekly POS via KAPSARC Data Portal,REAL_OFFICIAL_AGGREGATE
2023-01-01,Value of Transactions Change %,Furniture,Total,-28.437197638142564,2023-01-07,Saudi Central Bank (SAMA) weekly POS via KAPSARC Data Portal,REAL_OFFICIAL_AGGREGATE
2023-01-01,Number of Transactions (In Thousand),Gas Stations,Total,12591.0,2023-01-07,Saudi Central Bank (SAMA) weekly POS via KAPSARC Data Portal,REAL_OFFICIAL_AGGREGATE
2023-01-01,Number of Transactions Change %,Gas Stations,Total,-6.891961842786364,2023-01-07,Saudi Central Bank (SAMA) weekly POS via KAPSARC Data Portal,REAL_OFFICIAL_AGGREGATE
2023-01-01,Value of Transactions (In Thousand SAR),Gas Stations,Total,728190.0,2023-01-07,Saudi Central Bank (SAMA) weekly POS via KAPSARC Data Portal,REAL_OFFICIAL_AGGREGATE
2023-01-01,Value of Transactions Change %,Gas Stations,Total,-9.396762277081496,2023-01-07,Saudi Central Bank (SAMA) weekly POS via KAPSARC Data Portal,REAL_OFFICIAL_AGGREGATE
2023-01-01,Number of Transactions (In Thousand),Health,Total,7309.0,2023-01-07,Saudi Central Bank (SAMA) weekly POS via KAPSARC Data Portal,REAL_OFFICIAL_AGGREGATE
2023-01-01,Number of Transactions Change %,Health,Total,-8.408521303258146,2023-01-07,Saudi Central Bank (SAMA) weekly POS via KAPSARC Data Portal,REAL_OFFICIAL_AGGREGATE
2023-01-01,Value of Transactions (In Thousand SAR),Health,Total,718576.0,2023-01-07,Saudi Central Bank (SAMA) weekly POS via KAPSARC Data Portal,REAL_OFFICIAL_AGGREGATE
2023-01-01,Value of Transactions Change %,Health,Total,-16.14110145211679,2023-01-07,Saudi Central Bank (SAMA) weekly POS via KAPSARC Data Portal,REAL_OFFICIAL_AGGREGATE
2023-01-01,Number of Transactions (In Thousand),Hotels,Total,537.0,2023-01-07,Saudi Central Bank (SAMA) weekly POS via KAPSARC Data Portal,REAL_OFFICIAL_AGGREGATE
2023-01-01,Number of Transactions Change %,Hotels,Total,-10.5,2023-01-07,Saudi Central Bank (SAMA) weekly POS via KAPSARC Data Portal,REAL_OFFICIAL_AGGREGATE
2023-01-01,Value of Transactions (In Thousand SAR),Hotels,Total,242118.0,2023-01-07,Saudi Central Bank (SAMA) weekly POS via KAPSARC Data Portal,REAL_OFFICIAL_AGGREGATE
2023-01-01,Value of Transactions Change %,Hotels,Total,-15.063899052476856,2023-01-07,Saudi Central Bank (SAMA) weekly POS via KAPSARC Data Portal,REAL_OFFICIAL_AGGREGATE
2023-01-01,Number of Transactions (In Thousand),Jewelry,Total,205.0,2023-01-07,Saudi Central Bank (SAMA) weekly POS via KAPSARC Data Portal,REAL_OFFICIAL_AGGREGATE
2023-01-01,Number of Transactions Change %,Jewelry,Total,-12.76595744680851,2023-01-07,Saudi Central Bank (SAMA) weekly POS via KAPSARC Data Portal,REAL_OFFICIAL_AGGREGATE
2023-01-01,Value of Transactions (In Thousand SAR),Jewelry,Total,177937.0,2023-01-07,Saudi Central Bank (SAMA) weekly POS via KAPSARC Data Portal,REAL_OFFICIAL_AGGREGATE
2023-01-01,Value of Transactions Change %,Jewelry,Total,-18.95782948702183,2023-01-07,Saudi Central Bank (SAMA) weekly POS via KAPSARC Data Portal,REAL_OFFICIAL_AGGREGATE
2023-01-01,Number of Transactions (In Thousand),Miscellaneous Goods and Services,Total,19505.0,2023-01-07,Saudi Central Bank (SAMA) weekly POS via KAPSARC Data Portal,REAL_OFFICIAL_AGGREGATE
2023-01-01,Number of Transactions Change %,Miscellaneous Goods and Services,Total,-6.036226996820503,2023-01-07,Saudi Central Bank (SAMA) weekly POS via KAPSARC Data Portal,REAL_OFFICIAL_AGGREGATE
2023-01-01,Value of Transactions (In Thousand SAR),Miscellaneous Goods and Services,Total,1233890.0,2023-01-07,Saudi Central Bank (SAMA) weekly POS via KAPSARC Data Portal,REAL_OFFICIAL_AGGREGATE
2023-01-01,Value of Transactions Change %,Miscellaneous Goods and Services,Total,-14.911766531276507,2023-01-07,Saudi Central Bank (SAMA) weekly POS via KAPSARC Data Portal,REAL_OFFICIAL_AGGREGATE
2023-01-01,Number of Transactions (In Thousand),Other,Total,20646.0,2023-01-07,Saudi Central Bank (SAMA) weekly POS via KAPSARC Data Portal,REAL_OFFICIAL_AGGREGATE
2023-01-01,Number of Transactions Change %,Other,Total,-9.491035026960676,2023-01-07,Saudi Central Bank (SAMA) weekly POS via KAPSARC Data Portal,REAL_OFFICIAL_AGGREGATE
2023-01-01,Value of Transactions (In Thousand SAR),Other,Total,1729010.0,2023-01-07,Saudi Central Bank (SAMA) weekly POS via KAPSARC Data Portal,REAL_OFFICIAL_AGGREGATE
2023-01-01,Value of Transactions Change %,Other,Total,-19.983506238612524,2023-01-07,Saudi Central Bank (SAMA) weekly POS via KAPSARC Data Portal,REAL_OFFICIAL_AGGREGATE
2023-01-01,Number of Transactions (In Thousand),Public Utilities,Total,1170.0,2023-01-07,Saudi Central Bank (SAMA) weekly POS via KAPSARC Data Portal,REAL_OFFICIAL_AGGREGATE
2023-01-01,Number of Transactions Change %,Public Utilities,Total,-5.109489051094891,2023-01-07,Saudi Central Bank (SAMA) weekly POS via KAPSARC Data Portal,REAL_OFFICIAL_AGGREGATE
2023-01-01,Value of Transactions (In Thousand SAR),Public Utilities,Total,87232.0,2023-01-07,Saudi Central Bank (SAMA) weekly POS via KAPSARC Data Portal,REAL_OFFICIAL_AGGREGATE
