origin_week_start,sector,forecast_h1_week_start,forecast_h2_week_start,predicted_value_h1,predicted_value_h2,predicted_count_h1,predicted_count_h2,actual_value_h1,actual_value_h2,actual_count_h1,actual_count_h2,predicted_value_h1_index_52median,predicted_value_h2_index_52median,predicted_count_h1_index_52median,predicted_count_h2_index_52median,predicted_value_h1_change_vs_last,predicted_value_h2_change_vs_last,predicted_count_h1_change_vs_last,predicted_count_h2_change_vs_last
2024-02-25,Other,2024-03-03,2024-03-10,1856422.032385638,1951651.0375674933,29500.462461231917,27798.77501455022,2428544.0,1901933.0,31145.0,27163.0,0.9817481999040887,1.0321090029892583,1.164645182046266,1.0974644695835065,-0.3183256978006541,-0.2833578055196848,-0.08049551285004775,-0.13353567264438426
2024-02-25,Public Utilities,2024-03-03,2024-03-10,100861.20473444767,112188.06486312988,1427.3260858373983,1401.6824261918744,94729.0,85506.0,1194.0,1272.0,0.9284283342564209,1.0326921878294117,0.9465027094412456,0.9294976301007124,-0.023202255203543798,0.0864935535908451,0.16137191687339159,0.14050644930176914
2024-02-25,Recreation and Culture,2024-03-03,2024-03-10,287594.9574733843,325941.2259800357,2412.217479839372,2550.4837268365363,318366.0,224061.0,3048.0,2071.0,1.0131934383420267,1.1482868627093032,1.0238614090999032,1.082548271153029,-0.19241894570807994,-0.08474070190010718,-0.06430664086913418,-0.010673496184431253
2024-02-25,Restaurants & Café,2024-03-03,2024-03-10,1848148.654587747,1900734.6469044252,52027.000298329294,52444.46786292513,1961939.0,1225844.0,58386.0,36428.0,1.0539265039985237,1.0839142276072462,1.011972035407045,1.0200921557030067,-0.17605919833274764,-0.1526153348976732,-0.1393382911773483,-0.1324322934172849
2024-02-25,Telecommunication,2024-03-03,2024-03-10,95768.9383159097,106385.60160681939,770.2584607368628,840.1035783455093,113049.0,98986.0,943.0,860.0,0.9954725435495191,1.1058277066750453,1.0879356790068684,1.1865869750642786,-0.31614619569768065,-0.24033617098448767,-0.30794388073956613,-0.24518995656288478
2024-02-25,Transportation,2024-03-03,2024-03-10,675451.6567637979,727098.6595492449,2777.197149624995,2698.2883123768347,714369.0,673465.0,2785.0,2561.0,0.9899838949586323,1.0656809496160258,1.0897379437414145,1.0587750882388993,-0.18085767276129794,-0.11822366241735849,-0.11862991125833233,-0.14367238578964303
2024-03-03,Beverage and Food,2024-03-10,2024-03-17,1908145.008514742,1802900.9253742897,46611.542023343645,44400.78509789103,2264918.0,1735056.0,45812.0,40682.0,1.0524502956425592,0.9944022091913018,1.1052460584578674,1.0528249139945232,-0.28620031987064976,-0.32557007035918084,-0.029734762211830912,-0.07575384891983705
2024-03-03,Clothing and Footwear,2024-03-10,2024-03-17,898389.2420070574,1036830.7060469695,6188.503720832711,7004.4419165964655,914909.0,1192886.0,6283.0,7595.0,1.1630093382419078,1.3422286653996947,1.0856071784637682,1.228741674694582,-0.12968621052753482,0.004428836219368959,-0.1451162148317846,-0.03240200074644761
2024-03-03,Construction & Building Materials,2024-03-10,2024-03-17,317902.1377638298,328300.81893448764,1595.15491452698,1531.194271524828,307596.0,291311.0,1522.0,1389.0,0.9341435784711466,0.9646997153643037,1.1504903819163217,1.1043593736205035,-0.21148965750300175,-0.18569723059744914,-0.11576778573892454,-0.15122268762481816
2024-03-03,Education,2024-03-10,2024-03-17,189348.15668925265,214357.0708619751,145.6972069575609,136.6610881568867,140314.0,95603.0,107.0,87.0,1.3156303879132631,1.4893975268685475,1.1250749572012424,1.0552979780454572,-0.37573551933226745,-0.2932832943353254,-0.22087055102908615,-0.26919204194178237
