SAMAWeekStart,ProductCategoryCOICOP,BaseNetSalesSAR,SAMASector,BaseWeekTotal,BaseCategoryShare,SAMASectorShareMapped,BlendedTargetShare,SAMATargetCategoryWeeklySAR,SAMACalibrationFactor
2023-10-01,Personal care and miscellaneous goods,34640.31,Miscellaneous Goods and Services,1951234.55,0.01775302205467815,0.20654366615043687,0.0838297474881937,89280.49777541711,2.577358510227452
2023-10-01,Recreation and culture,120597.01,Recreation and Culture,1951234.55,0.06180549129780425,0.04455554064493666,0.055768008569300594,59394.137692137374,0.4925009143438745
2023-10-08,Clothing and footwear,231039.72,Clothing and Footwear,2454469.08,0.09413022224749312,0.09538851832524892,0.09457062587470766,92436.72824928234,0.4000902020192993
2023-10-08,Education,41568.81,Education,2454469.08,0.01693596808316689,0.017039020229555585,0.016972036334402932,16589.078225607114,0.39907512930024014
2023-10-08,Food and non-alcoholic beverages,349771.36,Beverage and Food,2454469.08,0.14250387705026618,0.29766086379967005,0.19680882241255754,192368.01560891737,0.5499821815282915
2023-10-08,Furniture and household equipment,496883.78,Furniture,2454469.08,0.20244043163908995,0.0425194792758035,0.1464680983119397,143163.18281309874,0.2881220691347557
2023-10-08,Information and communication,831.9,Electronic & Electric Devices,2454469.08,0.00033893276830360397,0.03391297079143358,0.012089846076399093,11817.050019530812,14.204892438431077
2023-10-08,Other retail goods,1121218.3,Other,2454469.08,0.45680685453980135,0.2650428053078744,0.38968943730862693,380896.46002593555,0.3397165922335869
2023-10-08,Personal care and miscellaneous goods,40388.49,Miscellaneous Goods and Services,2454469.08,0.01645508200901842,0.2056644703365587,0.08267836792365753,80812.80796405576,2.0008870835244337
2023-10-08,Recreation and culture,172766.72,Recreation and Culture,2454469.08,0.07038863166286047,0.04277187193385527,0.060722765757708644,59352.613403728225,0.34354193564436614
2023-10-15,Clothing and footwear,133524.66,Clothing and Footwear,1751673.42,0.07622691448957421,0.09716121160308966,0.08355391847930461,73681.36796885722,0.5518184279132949
2023-10-15,Education,39114.86,Education,1751673.42,0.02232999573630569,0.0148790570328895,0.019722167190110024,17391.838519670986,0.4446350701413986
2023-10-15,Food and non-alcoholic beverages,288299.91,Beverage and Food,1751673.42,0.16458542254982667,0.29962889149506244,0.21185063668065918,186818.82310008735,0.6480016698586114
2023-10-15,Furniture and household equipment,368094.7,Furniture,1751673.42,0.2101388853636884,0.043259346694252084,0.15173104682938568,133802.83411250153,0.3635011156436143
2023-10-15,Information and communication,1118.6299999999999,Electronic & Electric Devices,1751673.42,0.0006386064817949912,0.03482767611651693,0.012604780853947669,11115.427177680034,9.936643195408701
2023-10-15,Other retail goods,803841.07,Other,1751673.42,0.45889893676642074,0.26506339981245675,0.39105649883253335,344850.1077089482,0.42900284717842074
2023-10-15,Personal care and miscellaneous goods,27504.95,Miscellaneous Goods and Services,1751673.42,0.015702099310269835,0.2044147157432531,0.08175151506181397,72091.93264554143,2.6210530339281264
2023-10-15,Recreation and culture,90174.64,Recreation and Culture,1751673.42,0.051479139302119455,0.04076570150247954,0.04772943607224549,42089.82901330034,0.46675904681516156
2023-10-22,Clothing and footwear,200898.28000000003,Clothing and Footwear,2589623.89,0.07757816908307871,0.10579436059597541,0.08745383611259257,94339.38112641769,0.46958779899169706
2023-10-22,Education,53943.899999999994,Education,2589623.89,0.02083078558562417,0.015304599164648915,0.018896620338282835,20384.41705174998,0.3778817818465106
2023-10-22,Food and non-alcoholic beverages,482291.0,Beverage and Food,2589623.89,0.18623978634982394,0.3053643946071463,0.22793339923988679,245879.38938032874,0.5098154213541798
2023-10-22,Furniture and household equipment,524676.78,Furniture,2589623.89,0.20260732920563226,0.039753318491645775,0.14560842545573702,157072.68377113997,0.2993703738349922
2023-10-22,Information and communication,1375.57,Electronic & Electric Devices,2589623.89,0.0005311852448194707,0.03270998055486087,0.011793763603333963,12722.32767533898,9.248767911003425
2023-10-22,Other retail goods,1156362.33,Other,2589623.89,0.44653678646747424,0.26969928900769335,0.38464366235655095,414927.9971458081,0.3588217865466165
2023-10-22,Personal care and miscellaneous goods,35880.69,Miscellaneous Goods and Services,2589623.89,0.013855560314590704,0.1943331919884544,0.077022731400443,83086.99922127044,2.315646639495239
2023-10-22,Recreation and culture,134195.34,Recreation and Culture,2589623.89,0.051820397748956505,0.037040865589574964,0.04664756149317297,50320.28642696428,0.37497789734698894
2023-10-29,Clothing and footwear,289904.38,Clothing and Footwear,3556230.92,0.08152012243344423,0.11503763691622634,0.09325125250241798,104500.89960465823,0.36046678427093176
2023-10-29,Education,50235.72,Education,3556230.92,0.014126113047799494,0.01963119741691987,0.016052892576991627,17989.48186255265,0.35810140399207274
2023-10-29,Food and non-alcoholic beverages,709998.85,Beverage and Food,3556230.92,0.19964925393539967,0.28080783777709933,0.22805475827999455,255566.83433034166,0.3599538708130889
2023-10-29,Furniture and household equipment,711068.25,Furniture,3556230.92,0.19994996556635306,0.041434039678495654,0.14446939150560298,161897.8938355988,0.227682636421467
2023-10-29,Information and communication,4023.73,Electronic & Electric Devices,3556230.92,0.0011314591460781743,0.03322133783467262,0.01236291668708623,13854.354562202288,3.443162081502061
2023-10-29,Other retail goods,1585245.58,Other,3556230.92,0.44576564786180983,0.26645697065851753,0.38300761084065754,429212.89327713574,0.27075482732280237
2023-10-29,Personal care and miscellaneous goods,51908.5,Miscellaneous Goods and Services,3556230.92,0.014596493075877086,0.2025803404838569,0.08039083966867001,90089.0319423005,1.7355352580463796
2023-10-29,Recreation and culture,153845.91,Recreation and Culture,3556230.92,0.043260944933238475,0.040830639234211735,0.04241033793857912,47526.63742510232,0.30892363290712327
2023-11-05,Clothing and footwear,85419.27,Clothing and Footwear,1197656.66,0.0713220014156645,0.11070715395002653,0.0851068048026912,85823.7815563172,1.0047356007176975
2023-11-05,Education,22083.09,Education,1197656.66,0.018438581554750425,0.02047681163102738,0.01915196208144736,19313.306543039584,0.8745744614109522
2023-11-05,Food and non-alcoholic beverages,259244.3,Beverage and Food,1197656.66,0.21645961539595163,0.27876569726131945,0.23826674404883036,240274.00677055065,0.9268246467542417
2023-11-05,Furniture and household equipment,271678.26,Furniture,1197656.66,0.22684152234414162,0.04255775089061227,0.16234220233540636,163709.84368296704,0.6025872062157901
2023-11-05,Information and communication,1568.73,Electronic & Electric Devices,1197656.66,0.0013098328196997629,0.03403551673267366,0.012763822189240626,12871.350180901429,8.204949341761443
2023-11-05,Other retail goods,495926.92,Other,1197656.66,0.4140810438944998,0.265585523421641,0.3621076117289992,365158.1638032149,0.7363144630326075
2023-11-05,Personal care and miscellaneous goods,17900.39,Miscellaneous Goods and Services,1197656.66,0.0149461783145764,0.20541420626448575,0.08160998809704466,82297.50614527745,4.597525872077505
2023-11-05,Recreation and culture,43835.7,Recreation and Culture,1197656.66,0.03660122426071592,0.04245733984821402,0.03865086471634026,38976.47641770075,0.8891491733381868
2023-11-12,Clothing and footwear,111300.98,Clothing and Footwear,911598.02,0.12209436347832348,0.11724832094918428,0.12039824859312476,118998.30759393553,1.0691577701646071
2023-11-12,Education,12523.31,Education,911598.02,0.013737754717808623,0.021871665734480697,0.016584623573643847,16391.784435465637,1.3089019145470038
2023-11-12,Food and non-alcoholic beverages,215352.41,Beverage and Food,911598.02,0.2362361537380259,0.262734542560295,0.24551058982582008,242655.8943094941,1.1267851346984883
2023-11-12,Furniture and household equipment,169716.63999999998,Furniture,911598.02,0.1861748668563365,0.04358437090839981,0.13626819327455866,134683.7231275287,0.7935799526052879
2023-11-12,Information and communication,641.77,Electronic & Electric Devices,911598.02,0.0007040054782040883,0.03340754681603751,0.012150244946445786,12008.96692745895,18.712259730836514
2023-11-12,Other retail goods,353247.3,Other,911598.02,0.38750336469576796,0.2691109815758811,0.3460660306038076,342042.1180441974,0.9682794972366311
2023-11-12,Personal care and miscellaneous goods,16912.28,Miscellaneous Goods and Services,911598.02,0.01855234393773694,0.208578895777357,0.08506163708160396,84072.57557447924,4.971096479864291
2023-11-12,Recreation and culture,31903.33,Recreation and Culture,911598.02,0.034997147097796465,0.043463675678364594,0.03796043210099531,37519.04390917275,1.176022813580048
2023-11-19,Clothing and footwear,121428.16,Clothing and Footwear,1199207.49,0.10125700599151528,0.13439441738088828,0.11285509997779583,111309.39961397511,0.916668749769206
2023-11-19,Education,19561.16,Education,1199207.49,0.01631173934712499,0.010739505300621673,0.01436145743084883,14164.75821229135,0.7241266986360395
2023-11-19,Food and non-alcoholic beverages,276477.46,Beverage and Food,1199207.49,0.23055014441245694,0.25261329333333754,0.23827224653476514,235008.79190817202,0.8500106732323568
2023-11-19,Furniture and household equipment,210662.21,Furniture,1199207.49,0.17566785711119934,0.04633847855531759,0.13040257461664073,128616.53830044628,0.6105344584605197
2023-11-19,Information and communication,723.72,Electronic & Electric Devices,1199207.49,0.0006034985655401469,0.034193890087124014,0.012360135598094499,12190.847137984083,16.844701179992377
2023-11-19,Other retail goods,510814.72,Other,1199207.49,0.4259602481302047,0.27060427435095186,0.37158565730746623,366496.2986005605,0.717474035596626
2023-11-19,Personal care and miscellaneous goods,16886.95,Miscellaneous Goods and Services,1199207.49,0.014081758278544442,0.20272635491179553,0.08010736710018232,79010.19039752703,4.678772093097156
2023-11-19,Recreation and culture,42653.11,Recreation and Culture,1199207.49,0.03556774816341415,0.0483897860799635,0.04005546143420642,39506.84873239639,0.9262360642025023
2023-11-26,Clothing and footwear,85924.0,Clothing and Footwear,750327.98,0.11451525504886544,0.12186392460106367,0.11708728939213481,152715.4113151297,1.7773312615233194
2023-11-26,Education,15105.38,Education,750327.98,0.020131702938760192,0.039893798598297676,0.02704843641959831,35278.91981012557,2.3355201795734746
2023-11-26,Food and non-alcoholic beverages,129103.13000000002,Beverage and Food,750327.98,0.1720622626921097,0.27130946323887145,0.2067987828834763,269724.93215510144,2.089220704061175
2023-11-26,Furniture and household equipment,133372.7,Furniture,750327.98,0.1777525342984011,0.041766838025545996,0.1301575406029018,169762.7680351191,1.2728449527910817
2023-11-26,Information and communication,522.2,Electronic & Electric Devices,750327.98,0.0006959623177053854,0.030221869472468407,0.011030029821872442,14386.322800795386,27.549450020672893
2023-11-26,Other retail goods,338603.99,Other,750327.98,0.4512746412575471,0.2582978944464745,0.3837327798736717,500497.6169295658,1.47812084827933
2023-11-26,Personal care and miscellaneous goods,12422.84,Miscellaneous Goods and Services,750327.98,0.016556546378558346,0.1895890464142523,0.07711792139105123,100583.8904132436,8.096690484079614
2023-11-26,Recreation and culture,35273.74,Recreation and Culture,750327.98,0.047011095068052774,0.047057165203026025,0.04702721961529341,61336.98391892994,1.738885185379547
2023-12-03,Clothing and footwear,78830.02,Clothing and Footwear,753426.1799999999,0.10462872421024713,0.11488903424294228,0.10821983272169045,114511.71327186095,1.4526409262849476
2023-12-03,Education,15393.59,Education,753426.1799999999,0.020431450895428138,0.031647085424064275,0.024356922980450786,25773.02986315883,1.674270255551748
2023-12-03,Food and non-alcoholic beverages,123804.34,Beverage and Food,753426.1799999999,0.1643217919504735,0.26213709116144934,0.19855714667431504,210101.22152490457,1.6970424584865489
2023-12-03,Furniture and household equipment,135198.8,Furniture,753426.1799999999,0.17944531738995317,0.044840649009805986,0.13233368345690166,140027.53871554148,1.0357158400484434
2023-12-03,Information and communication,29.99,Electronic & Electric Devices,753426.1799999999,3.980482865620624e-05,0.03371650479129354,0.011826649815579272,12514.24899289168,417.2807266719467
2023-12-03,Other retail goods,354153.25,Other,753426.1799999999,0.4700570001430001,0.261660946615819,0.3971183814084867,420206.76878869056,1.18651111853044
2023-12-03,Personal care and miscellaneous goods,10762.24,Miscellaneous Goods and Services,753426.1799999999,0.014284398771489465,0.2047182191681091,0.08093623591030633,85641.85331629221,7.95762344235886
2023-12-03,Recreation and culture,35253.95,Recreation and Culture,753426.1799999999,0.04679151181075231,0.04639046958651648,0.046651147032269774,49363.43587317326,1.4002242549607422
2023-12-10,Clothing and footwear,85699.39,Clothing and Footwear,779351.47,0.1099624409510641,0.11770672914140917,0.11267294181768488,114979.58345809016,1.3416616321083517
2023-12-10,Education,15117.31,Education,779351.47,0.01939729452232893,0.02073814369433492,0.019866591732531025,20273.300805746992,1.341065361876352
2023-12-10,Food and non-alcoholic beverages,109719.59,Beverage and Food,779351.47,0.14078319503265965,0.26841172408687725,0.18545318020163581,189249.77964155152,1.724849497173217
2023-12-10,Furniture and household equipment,157051.57,Furniture,779351.47,0.2015157166509226,0.04483363733339159,0.14667698888978675,149679.76173661536,0.9530612252817043
2023-12-10,Information and communication,364.19,Electronic & Electric Devices,779351.47,0.00046729879139125765,0.03159112780987679,0.011360638947861192,11593.214066927032,31.832873134701757
2023-12-10,Other retail goods,367744.56,Other,779351.47,0.47185971176778563,0.26642510494373267,0.39995759937936715,408145.53552660794,1.1098615178062945
2023-12-10,Personal care and miscellaneous goods,12246.119999999999,Miscellaneous Goods and Services,779351.47,0.015713218581598364,0.20689631110188794,0.08262730096369972,84318.84793107689,6.885352089566075
